HK 2-stellig;HK 3-stellig;3mit *;Kontobezeichnung;HK;HK-4-Stellig;IDEA;Kontoneu;Prozess KI;Prozess EWB;WP;Sachanlagen;Personal;manuell;Hinweis
22;221;*;Andere befristete Verbindlichkeiten gegenüber Privatkunden – aufgenommene Darlehen mit einer Laufzeit oder Kündigungsfrist von mehr als 3 Monaten;213400;2134;;x;;;;;;;
22;221;*;Geschäftsgirokonten -mit normalverzinslichen Guthaben;221100;2211;;x;;;;;;;
22;221;*;Geschäftsgirokonten - mit höherverzinslichen Guthaben - Geldmarktkonten;221210;2212;;x;;;;;;;
22;222;*;Geschäftsgirokonten - mit höherverzinslichen Guthaben - Sonstige;221220;2212;;x;;;;;;;
22;222;*;Privatgirokonten - mit normalverzinslichen Guthaben;222100;2221;;x;;;;;;;
22;222;*;Privatgirokonten - mit höherverzinslichen Guthaben - Geldmarktkonten;222210;2222;;x;;;;;;;
22;223;*;Privatgirokonten - mit höherverzinslichen Guthaben - Sonstige;222220;2222;;x;;;;;;;
22;223;*;Girokonten öffentlicher Haushalte - mit normalverzinslichen Guthaben;223100;2231;;x;;;;;;;
22;223;*;Girokonten öffentlicher Haushalte - mit höherverzinslichen Guthaben - Geldmarktkonten;223210;2232;;x;;;;;;;
23;230;*;Girokonten öffentlicher Haushalte - mit höherverzinslichen Guthaben - Sonstige;223220;2232;;x;;;;;;;
25;250;*;Akzeptkredite (Obligo);230000;2300;;x;;;;;;;
26;261;*;Weiterleitungsmittel von Nichtkreditinstituten;250000;2500;;x;;;;;;;
26;261;*;Fremdwährungs-Kontokorrentkredite an Kunden – an Geschäftskunden;261100;2611;;x;;;;;;;
26;261;*;Fremdwährungs-Kontokorrentkredite an Kunden – an öffentliche Haushalte;261200;2612;;x;;;;;;;
26;262;*;Fremdwährungs-Kontokorrentkredite an Kunden – an Privatkunden;261300;2613;;x;;;;;;;
26;262;*;Fremdwährungs-Sichteinlagen von Kunden – auf normalverzinslichen Geschäftsgirokonten;262100;2621;;x;;;;;;;
26;262;*;Fremdwährungs-Sichteinlagen von Kunden – auf höherverzinslichen Geschäftsgirokonten;262200;2622;;x;;;;;;;
26;262;*;Fremdwährungs-Sichteinlagen von Kunden – auf normalverzinslichen Privatgirokonten;262300;2623;;x;;;;;;;
26;263;*;Fremdwährungs-Sichteinlagen von Kunden – auf höherverzinslichen Privatgirokonten;262400;2624;;x;;;;;;;
26;263;*;Fremdwährungs-Tagesgelder von Kunden – Geschäftskunden;263100;2631;;x;;;;;;;
26;264;*;Fremdwährungs-Tagesgelder von Kunden – Privatkunden;263300;2633;;x;;;;;;;
26;264;*;Andere befristete Fremdwährungs-Verbindlichkeiten gegenüber  Geschäftskunden – mit einer Laufzeit oder Kündigungsfrist bis zu 5 Jahren;264100;2641;;x;;;;;;;
26;265;*;Andere befristete Fremdwährungs-Verbindlichkeiten gegenüber  Geschäftskunden – mit einer Laufzeit oder Kündigungsfrist von mehr als 5 Jahren;264200;2642;;x;;;;;;;
26;265;*;Andere befristete Fremdwährungs-Verbindlichkeiten gegenüber Privatkunden – mit einer Laufzeit oder Kündigungsfrist bis zu drei Monaten;265100;2651;;x;;;;;;;
29;291;*;Andere befristete Fremdwährungs-Verbindlichkeiten gegenüber Privatkunden – mit einer Laufzeit oder Kündigungsfrist von mehr als 3 Monaten;265200;2652;;x;;;;;;;
29;292;*;Vorschüsse;291000;2910;x;;;;;;;;Übersicht: Summen S/H, Anzahl S/H, max, min, davon masch/man, evtl. Saldo
31;310;*;Vorläufig gebuchte Eingänge;292000;2920;x;;;;;;;;Übersicht: Summen S/H, Anzahl S/H, max, min, davon masch/man, evtl. Saldo
32;321;*;Kasse;310000;3100;x;;;;;;;;2-3 Belegungen in Stichproben
32;322;*;Sorten (ohne Goldmünzen);321000;3210;x;;;;;;;;2-3 Belegungen in Stichproben
32;323;*;Reisezahlungsmittel;322000;3220;x;;;;;;;;2-3 Belegungen in Stichproben
33;330;*;Edelmetalle;323000;3230;x;;;;;;;;2-3 Belegungen in Stichproben
41;411;*;Fällige Schuldverschreibungen, Zins- und Dividendenscheine;330000;3300;x;;;;;;;;2-3 Belegungen in Stichproben
41;412;*;Laufendes Konto bei der eigenen GZ;411000;4110;;;x;;;;;;
41;413;*;Tagesgeldanlagen bei der eigenen GZ;412000;4120;;;x;;;;;;
41;413;*;Forderungen an die eigene GZ mit einer Laufzeit oder Kündigungsfrist von weniger als 1 Monat;413100;4131;;;x;;;;;;
41;413;*;Forderungen an die eigene GZ mit einer Laufzeit oder Kündigungsfrist von mindestens 1 Monat bis zu 1 Jahr;413200;4132;;;x;;;;;;
41;415;*;Forderungen an die eigene GZ mit einer Laufzeit oder Kündigungsfrist von mehr als 1 Jahr;413300;4133;;;x;;;;;;
41;415;*;Schuldscheine und Namensschuldverschreibungen der eigenen GZ;415100;4151;;;x;;;;;;
41;416;*;Rückzahlbare, nicht börsenfähige Genussrechte der eigenen GZ;415200;4152;;;x;;;;;;
41;416;*;Laufende Fremdwährungsguthaben bei der eigenen GZ;416100;4161;;;x;;;;;;
41;416;*;Laufende Fremdwährungsverbindlichkeiten gegenüber der eigenen GZ;416200;4162;;;x;;;;;;
41;416;*;Fremdwährungstagesgeldanlagen bei der eigenen GZ;416300;4163;;;x;;;;;;
41;416;*;Fremdwährungsforderungen an die eigene GZ mit einer Laufzeit oder Kündigungsfrist von weniger als 1 Monat;416400;4164;;;x;;;;;;
41;416;*;Fremdwährungsforderungen an die eigene GZ mit einer Laufzeit oder Kündigungsfrist von mindestens 1 Monat bis zu   1 Jahr;416500;4165;;;x;;;;;;
42;421;*;Fremdwährungsforderungen an die eigene GZ mit einer Laufzeit oder Kündigungsfrist von mehr als 1 Jahr;416600;4166;;;x;;;;;;
42;423;*;Bbk – laufendes Konto;421000;4210;;;x;;;;;;
42;424;*;Bbk – Übernachtguthaben;423000;4230;;;x;;;;;;
42;424;*;Bbk – andere Guthaben;424000;4240;;;x;;;;;;
42;424;*;Bbk – andere Guthaben mit einer Laufzeit von weniger als 1 Monat;424100;4241;;;x;;;;;;
42;424;*;Bbk – andere Guthaben mit einer Laufzeit von mindestens 1 Monat bis zu 1 Jahr;424200;4242;;;x;;;;;;
44;441;*;Bbk – andere Guthaben mit einer Laufzeit von mehr als 1 Jahr;424300;4243;;;x;;;;;;
44;443;*;Laufende Konten bei anderen Kreditinstituten;441000;4410;;;x;;;;;;
44;444;*;Tagesgeldanlagen bei anderen Kreditinstituten;443000;4430;;;x;;;;;;
44;444;*;Forderungen an andere Kreditinstitute bei einer Laufzeit oder Kündigungsfrist von weniger als 1 Monat;444100;4441;;;x;;;;;;
44;444;*;Forderungen an andere Kreditinstitute mit einer Laufzeit oder Kündigungsfrist von mindestens 1 Monat bis zu 1 Jahr;444200;4442;;;x;;;;;;
44;445;*;Forderungen an andere Kreditinstitute mit einer Laufzeit oder Kündigungsfrist von mehr als 1 Jahr;444300;4443;;;x;;;;;;
44;445;*;Schuldscheine und Namensschuldverschreibungen anderer Kreditinstitute;445100;4451;;;x;;;;;;
44;446;*;Rückzahlbare, nicht börsenfähige Genussrechte anderer Kreditinstitute;445200;4452;;;x;;;;;;
44;446;*;Laufende Fremdwährungsguthaben bei anderen Kreditinstituten;446100;4461;;;x;;;;;;
44;446;*;Laufende Fremdwährungs-Verbindlichkeiten gegenüber anderen Kreditinstituten;446200;4462;;;x;;;;;;
44;446;*;Fremdwährungs-Tagesgeldanlagen bei anderen Kreditinstituten;446300;4463;;;x;;;;;;
44;446;*;Fremdwährungs-Forderungen an andere Kreditinstitute mit einer Laufzeit oder Kündigungsfrist von weniger als 1 Monat;446400;4464;;;x;;;;;;
44;446;*;Fremdwährungs-Forderungen an andere Kreditinstitute mit einer Laufzeit oder Kündigungsfrist von mindestens 1 Monat  bis zu 1 Jahr;446500;4465;;;x;;;;;;
45;451;*;Fremdwährungs-Forderungen an andere Kreditinstitute mit einer Laufzeit oder Kündigungsfrist von mehr als 1 Jahr;446600;4466;;;x;;;;;;
45;451;*;Tagesgelder der eigenen GZ;451100;4511;;;x;;;;;;
45;451;*;Verbindlichkeiten gegenüber der eigenen GZ mit einer Laufzeit oder Kündigungsfrist von weniger als 1 Monat (ohne  Weiterleitungsmittel);451200;4512;;;x;;;;;;
45;451;*;Verbindlichkeiten gegenüber der eigenen GZ mit einer Laufzeit oder Kündigungsfrist von mindestens 1 Monat bis zu 5 Jahren  (ohne Weiterleitungsmittel);451300;4513;;;x;;;;;;
45;452;*;Verbindlichkeiten gegenüber der eigenen GZ mit einer Laufzeit oder Kündigungsfrist von mehr als 5 Jahren (ohne  Weiterleitungsmittel);451400;4514;;;x;;;;;;
45;452;*;Übernachtkredit der Bbk;452100;4521;;;x;;;;;;
45;452;*;Offenmarktkredite der Bbk mit einer Laufzeit von weniger als 1 Monat;452200;4522;;;x;;;;;;
45;453;*;Offenmarktkredite der Bbk mit einer Laufzeit von 1 Monat oder länger;452300;4523;;;x;;;;;;
45;454;*;Akzeptverbindlichkeiten;453000;4530;;;x;;;;;;
45;454;*;Tagesgelder anderer Kreditinstitute;454100;4541;;;x;;;;;;
45;454;*;Verbindlichkeiten gegenüber anderen Kreditinstituten mit einer Laufzeit oder Kündigungsfrist von weniger als 1 Monat (ohne  Weiterleitungsmittel);454200;4542;;;x;;;;;;
45;454;*;Verbindlichkeiten gegenüber anderen Kreditinstituten mit einer Laufzeit oder Kündigungsfrist von mindestens 1 Monat bis zu  5 Jahren (ohne Weiterleitungsmittel);454300;4543;;;x;;;;;;
45;455;*;Verbindlichkeiten gegenüber anderen Kreditinstituten mit einer Laufzeit oder Kündigungsfrist von mehr als 5 Jahren (ohne  Weiterleitungsmittel);454400;4544;;;x;;;;;;
45;455;*;An die eigene GZ verkaufte, den Kreditnehmern nicht abgerechnete eigene Ziehungen;455100;4551;;;x;;;;;;
45;456;*;An andere Kreditinstitute verkaufte, den Kreditnehmern nicht abgerechnete eigene Ziehungen;455400;4554;;;x;;;;;;
45;456;*;Fremdwährungs-Tagesgelder der eigenen GZ;456100;4561;;;x;;;;;;
45;456;*;Fremdwährungs-Verbindlichkeiten gegenüber der eigenen GZ mit einer Laufzeit oder Kündigungsfrist von weniger als 1  Monat;456200;4562;;;x;;;;;;
45;456;*;Fremdwährungs-Verbindlichkeiten gegenüber der eigenen GZ mit einer Laufzeit oder Kündigungsfrist von mindestens 1  Monat bis zu 5 Jahren;456300;4563;;;x;;;;;;
45;457;*;Fremdwährungs-Verbindlichkeiten gegenüber der eigenen GZ mit einer Laufzeit oder Kündigungsfrist von mehr als 5 Jahren;456400;4564;;;x;;;;;;
45;457;*;Fremdwährungs-Tagesgelder von anderen Kreditinstituten;457100;4571;;;x;;;;;;
45;457;*;Fremdwährungs-Verbindlichkeiten gegenüber anderen Kreditinstituten mit einer Laufzeit oder Kündigungsfrist von  weniger als 1 Monat;457200;4572;;;x;;;;;;
45;457;*;Fremdwährungs-Verbindlichkeiten gegenüber anderen Kreditinstituten mit einer Laufzeit oder Kündigungsfrist von  mindestens 1 Monat bis zu 5 Jahren;457300;4573;;;x;;;;;;
45;458;*;Fremdwährungs-Verbindlichkeiten gegenüber anderen Kreditinstituten mit einer Laufzeit oder Kündigungsfrist von  mehr als 5 Jahren;457400;4574;;;x;;;;;;
45;458;*;Konsortialverbindlichkeiten – Ankauf bundesbankfähiger Wechsel;458100;4581;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Ankauf nicht bundesbankfähiger Wechsel;458200;4582;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Kontokorrentkredite auf Geschäftsgirokonten (ohne solche öffentlicher Haushalte);458310;4583;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Kontokorrentkredite an öffentliche Haushalte;458320;4583;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Kontokorrentkredite auf Privatgirokonten;458330;4583;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Geschäftskunden (Wohnungsbau) – Wohnungsbau mit einer Laufzeit bis zu 5 Jahren;458411;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Geschäftskunden (Wohnungsbau) – durch Grundpfandrechte gesichert;458412;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Geschäftskunden (Wohnungsbau) – gegen kommunale Deckung;458413;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Geschäftskunden (Wohnungsbau) – gegen sonstige bzw. ohne weitere Sicherheiten;458414;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Geschäftskunden (Wohnungsbau) – Wohnungsbau mit einer Laufzeit von mehr als 5 Jahren;458415;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Geschäftskunden (Wohnungsbau) – durch Grundpfandrechte gesichert;458416;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Geschäftskunden (Wohnungsbau) – gegen kommunale Deckung;458417;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Geschäftskunden (Wohnungsbau) – gegen sonstige bzw. ohne weitere Sicherheiten;458418;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Geschäftskunden (Sonstige Darlehen) – Sonstige mit einer Laufzeit bis zu 5 Jahren;458421;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Geschäftskunden (Sonstige Darlehen) – durch Grundpfandrechte gesichert;458422;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Geschäftskunden (Sonstige Darlehen) – gegen kommunale Deckung;458423;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Geschäftskunden (Sonstige Darlehen) – gegen sonstige bzw. ohne weitere Sicherheiten;458424;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Geschäftskunden (Sonstige Darlehen) – Sonstige mit einer Laufzeit von mehr als 5 Jahren;458425;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Geschäftskunden (Sonstige Darlehen) – durch Grundpfandrechte gesichert;458426;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Geschäftskunden (Sonstige Darlehen) – gegen kommunale Deckung;458427;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Geschäftskunden (Sonstige Darlehen) – gegen sonstige bzw. ohne weitere Sicherheiten;458428;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Privatkunden (Wohnungsbau) – Wohnungsbau mit einer Laufzeit bis zu 5 Jahren;458431;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Privatkunden (Wohnungsbau) – durch Grundpfandrechte gesichert;458432;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Privatkunden (Wohnungsbau) – gegen kommunale Deckung;458433;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Privatkunden (Wohnungsbau) – gegen sonstige bzw. ohne weitere Sicherheiten;458434;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Privatkunden (Wohnungsbau) – Wohnungsbau mit einer Laufzeit von mehr als 5 Jahren;458435;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Privatkunden (Wohnungsbau) – durch Grundpfandrechte gesichert;458436;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Privatkunden (Wohnungsbau) – gegen kommunale Deckung;458437;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an Privatkunden (Wohnungsbau) – gegen sonstige bzw. ohne weitere Sicherheiten;458438;4584;;x;;;;;;;
45;458;*;Konsortialverbindlichkeiten – Darlehen an öffentliche Haushalte;458440;4584;;x;;;;;;;
45;459;*;Konsortialverbindlichkeiten – Fremdwährungs-Kredit;458460;4584;;x;;;;;;;
45;459;*;An Kreditinstitute verkaufte Sparkassenbriefe mit einer Laufzeit bis zu 5 Jahren;459100;4591;;x;;;;;;;
45;459;*;An Kreditinstitute verkaufte Sparkassenbriefe mit einer Laufzeit von mehr als 5 Jahren;459200;4592;;x;;;;;;;
45;459;*;An Kreditinstitute verkaufte Sparkassenobligationen und Inhaberschuldverschreibungen mit einer Laufzeit bis zu 5  Jahren;459300;4593;;x;;;;;;;
45;459;*;An Kreditinstitute verkaufte Sparkassenobligationen und Inhaberschuldverschreibungen mit einer Laufzeit von mehr als  5 Jahren;459400;4594;;x;;;;;;;
45;459;*;An Kreditinstitute verkaufte Hypothekenpfandbriefe – Inhaberpapiere – – mit einer Laufzeit von bis zu 5 Jahren;459510;4595;;x;;;;;;;
45;459;*;An Kreditinstitute verkaufte Hypothekenpfandbriefe – Inhaberpapiere – – mit einer Laufzeit von mehr als 5 Jahren;459520;4595;;x;;;;;;;
45;459;*;An Kreditinstitute verkaufte öffentliche Pfandbriefe – Inhaberpapiere – – mit einer Laufzeit von bis zu 5 Jahren;459530;4595;;x;;;;;;;
45;459;*;An Kreditinstitute verkaufte öffentliche Pfandbriefe – Inhaberpapiere – – mit einer Laufzeit von mehr als 5 Jahren;459540;4595;;x;;;;;;;
45;459;*;An Kreditinstitute verkaufte Hypothekenpfandbriefe – Namenspapiere – – mit einer Laufzeit von bis zu 5 Jahren;459610;4596;;x;;;;;;;
45;459;*;An Kreditinstitute verkaufte Hypothekenpfandbriefe – Namenspapiere – – mit einer Laufzeit von mehr als 5 Jahren;459620;4596;;x;;;;;;;
45;459;*;An Kreditinstitute verkaufte öffentliche Pfandbriefe – Namenspapiere – – mit einer Laufzeit von bis zu 5 Jahren;459630;4596;;x;;;;;;;
46;461;*;An Kreditinstitute verkaufte öffentliche Pfandbriefe – Namenspapiere – – mit einer Laufzeit von mehr als 5 Jahren;459640;4596;;x;;;;;;;
46;461;*;Verbindlichkeiten aus Treuhandkrediten (im eigenen Namen, für fremde Rechnung verwaltete Kredite) – Kapitalverbindlichkeiten;461100;4611;;x;;;;;;;
46;461;*;Verbindlichkeiten aus Treuhandkrediten (im eigenen Namen, für fremde Rechnung verwaltete Kredite) – Zinsverbindlichkeiten;461200;4612;;x;;;;;;;
